name,v_nom_kv,carrier,country,x_bng,y_bng,lon,lat
Beauly,275.0,AC,GB,248167.62589478295,845011.7305259121,-4.533299365093353,57.469875801184344
Peterhead,275.0,AC,GB,411831.01133776025,843821.4508902557,-1.8043312748338225,57.48448144084453
Errochty,275.0,AC,GB,274353.76755056693,761097.0485288444,-4.054907377860434,56.72457146038023
Denny/Bonnybridge,275.0,AC,GB,292803.0946348395,692060.8573095988,-3.7252819817609404,56.10923714972857
Neilston,400.0,AC,GB,248762.76545825912,659923.3197650968,-4.414788139433795,55.80883139949438
Strathaven,400.0,AC,GB,282090.5821692239,652781.6449261572,-3.8802681229997273,55.7539883093889
Torness,400.0,AC,GB,368385.8217584366,670040.6921757305,-2.5074484268622568,55.92240071941841
Eccles,400.0,AC,GB,385644.8696950949,642664.2711643879,-2.2298274257454436,55.67725496915237
Harker,400.0,AC,GB,345770.5175962201,559939.8700915012,-2.8478196634731097,54.93117563848701
Stella West,400.0,AC,GB,421353.2446684904,565891.2655846176,-1.6678395646218065,54.98716160844158
Penwortham,400.0,AC,GB,355292.75088974176,431389.7192431978,-2.6798804458101393,53.77690971737784
Deeside,400.0,AC,GB,328511.4696180428,370090.3424744133,-3.072207840316483,53.22303026688487
Daines,400.0,AC,GB,388025.427966484,384968.8320017821,-2.1813954126560544,53.36145566697091
Th. Marsh/Stocksbridge,400.0,AC,GB,440397.7113410941,396871.6236857908,-1.3929358621167411,53.46704191702845
Thornton/Drax/Eggborough,400.0,AC,GB,466583.8530256268,437936.2551664532,-0.9897524867063676,53.833427557333486
Keadby,400.0,AC,GB,487413.73842419137,400442.4613855152,-0.6838660816980398,53.49343565701816
Ratcliffe,400.0,AC,GB,463013.01553459954,331406.26914676366,-1.0651850422160314,52.876444236501314
Feckenham,400.0,AC,GB,402903.9175637024,266536.05491428723,-1.9588405270179026,52.296944236030875
Walpole,400.0,AC,GB,551688.8134515011,317122.9191148509,0.2449733053665525,52.7304762063457
Bramford,400.0,AC,GB,616559.0280421478,248086.7276734712,1.1596508553632856,52.08873753584057
Pelham,400.0,AC,GB,548713.1155007696,233803.37749385383,0.1640535309072331,51.98279067575753
Sundon/East Claydon,400.0,AC,GB,493960.2738587771,229637.40031275083,-0.6340440214750397,51.95729431573831
Melksham,400.0,AC,GB,384454.590481636,168933.163214845,-2.2249436936123357,51.41919594530918
Bramley,400.0,AC,GB,471344.9696722053,155244.95253114047,-0.9782194410125862,51.29187666522141
London,400.0,AC,GB,529668.6488401636,183216.51339475188,-0.13194294348253321,51.53297257541468
Kemsley,400.0,AC,GB,592753.4446457628,167742.88364712975,0.768177373782915,51.37601158531776
Sellindge,400.0,AC,GB,618344.4467064597,138581.04431445306,1.1175618087311299,51.10492679514119
Lovedean,400.0,AC,GB,470749.8300153228,112990.04259656006,-0.9950223802349352,50.912050274938544
S.W.Penisula,400.0,AC,GB,381478.8925611077,121917.13582157023,-2.265293506852101,50.99634636497591
HVDC_External_Netherlands_Maasvlakte,400.0,AC,Netherlands,815766.9184565952,249665.8846533714,4.058099999999997,51.9889
HVDC_External_France_Calais,400.0,AC,France,671108.9483002038,123965.21882371302,1.8587000128453077,50.95129999507291
HVDC_External_Belgium_Zeebrugge,400.0,AC,Belgium,762566.9892089879,168493.6584799803,3.2025999999999972,51.299299999999995
HVDC_External_Norway_Kvilldal,400.0,AC,Norway,856072.7491053692,1079042.9326003385,6.0333000000000006,59.349999999999994
HVDC_External_Ireland_Rush_North_Beach,400.0,AC,Ireland,128806.84275304293,410177.54525291093,-6.092499990598417,53.518099997306564
