name,v_nom_kv,carrier,country,x_bng,y_bng,lon,lat
Z10,400.0,AC,GB,508272.6531084761,361092.5720893288,-0.38299998671932234,53.135999996698985
Z11,400.0,AC,GB,424022.91845899366,296855.6489382087,-1.6469999877002683,52.56899999625532
Z12,400.0,AC,GB,567377.150664883,264587.5119438926,0.450700013186153,52.253999995966005
Z13,400.0,AC,GB,334887.63708459033,213575.81039030314,-2.945999988858769,51.816999995638675
Z14,400.0,AC,GB,527922.2995766909,183509.10054472694,-0.1569999874917498,51.53599999541662
Z15,400.0,AC,GB,597051.337645256,160779.38570051585,0.8260000127636971,51.311999995274235
Z16,400.0,AC,GB,489488.73906806414,127400.09242984862,-0.7249999880355324,51.03899999503814
Z17,400.0,AC,GB,287168.6358208883,96489.6016483439,-3.6009999897772347,50.75699999476892
Z1_1,400.0,AC,GB,442008.75585867616,1166135.3984259265,-1.2399999847512693,60.377000003395615
Z1_2,400.0,AC,GB,114059.35183652205,905200.764932773,-6.833999990236854,57.944000001926916
Z1_3,400.0,AC,GB,256553.94896515534,915703.3381645617,-4.435999987860998,58.107000001807286
Z1_4,400.0,AC,GB,206362.23001700087,807663.8048896415,-5.1999999887908634,57.11900000090608
Z2,400.0,AC,GB,329189.86573861557,810741.2868925169,-3.1729999869901517,57.18200000073103
Z3,400.0,AC,GB,273714.38996420364,729642.6110629633,-4.049999987935638,56.442000000095874
Z4,400.0,AC,GB,169641.68280192657,660079.6530977717,-5.674999989567888,55.77899999957698
Z5,400.0,AC,GB,285312.71796743915,655257.8122193472,-3.8299999879509365,55.776999999407096
Z6,400.0,AC,GB,305857.61214994127,597651.4540596197,-3.4829999878398397,55.26399999886603
Z7,400.0,AC,GB,388165.2163621157,554376.8319585621,-2.185999987015733,54.88399999838734
Z8,400.0,AC,GB,455010.94942357676,446751.44583116204,-1.163999986771212,53.91399999741568
Z9,400.0,AC,GB,332920.9903346278,388159.5794291257,-3.0099999882042496,53.38599999703225
HVDC_External_Netherlands_Maasvlakte,400.0,AC,Netherlands,815766.9184565952,249665.8846533714,4.058099999999997,51.9889
HVDC_External_France_Calais,400.0,AC,France,671108.9483002038,123965.21882371302,1.8587000128453077,50.95129999507291
HVDC_External_Belgium_Zeebrugge,400.0,AC,Belgium,762566.9892089879,168493.6584799803,3.2025999999999972,51.299299999999995
HVDC_External_Ireland_Rush_North_Beach,400.0,AC,Ireland,128806.84275304293,410177.54525291093,-6.092499990598417,53.518099997306564
