name,bus0,bus1,s_nom_mw,length_km
0,Beauly,Peterhead,525.0,0.0
1,Beauly,Errochty,132.0,0.0
2,Beauly,Peterhead,525.0,0.0
3,Beauly,Errochty,132.0,0.0
4,Peterhead,Denny/Bonnybridge,760.0,0.0
5,Peterhead,Denny/Bonnybridge,760.0,0.0
6,Errochty,Denny/Bonnybridge,648.0,0.0
7,Errochty,Denny/Bonnybridge,648.0,0.0
8,Denny/Bonnybridge,Torness,1090.0,0.0
9,Denny/Bonnybridge,Strathaven,1500.0,0.0
10,Denny/Bonnybridge,Strathaven,1120.0,0.0
11,Denny/Bonnybridge,Neilston,1000.0,0.0
12,Denny/Bonnybridge,Neilston,1000.0,0.0
13,Denny/Bonnybridge,Torness,1090.0,0.0
14,Neilston,Strathaven,1390.0,0.0
15,Neilston,Strathaven,1390.0,0.0
16,Neilston,Deeside,2200.0,0.0
17,Strathaven,Harker,2100.0,0.0
18,Strathaven,Harker,2100.0,0.0
19,Torness,Eccles,2180.0,0.0
20,Torness,Eccles,2500.0,0.0
21,Torness,Strathaven,950.0,0.0
22,Torness,Strathaven,950.0,0.0
23,Eccles,Stella West,3070.0,0.0
24,Eccles,Stella West,3070.0,0.0
25,Harker,Penwortham,1390.0,0.0
26,Harker,Penwortham,1390.0,0.0
27,Harker,Stella West,855.0,0.0
28,Harker,Stella West,775.0,0.0
29,Stella West,Thornton/Drax/Eggborough,4840.0,0.0
30,Stella West,Thornton/Drax/Eggborough,4020.0,0.0
31,Penwortham,Thornton/Drax/Eggborough,2520.0,0.0
32,Penwortham,Thornton/Drax/Eggborough,2520.0,0.0
33,Penwortham,Daines,2170.0,0.0
34,Penwortham,Daines,2210.0,0.0
35,Penwortham,Deeside,3320.0,0.0
36,Penwortham,Deeside,3320.0,0.0
37,Deeside,Daines,3100.0,0.0
38,Deeside,Feckenham,2400.0,0.0
39,Deeside,Feckenham,2400.0,0.0
40,Deeside,Daines,3100.0,0.0
41,Daines,Feckenham,2400.0,0.0
42,Daines,Feckenham,2400.0,0.0
43,Daines,Thornton/Drax/Eggborough,1240.0,0.0
44,Daines,Thornton/Drax/Eggborough,955.0,0.0
45,Daines,Th. Marsh/Stocksbridge,1040.0,0.0
46,Daines,Th. Marsh/Stocksbridge,1040.0,0.0
47,Th. Marsh/Stocksbridge,Keadby,2580.0,0.0
48,Th. Marsh/Stocksbridge,Keadby,625.0,0.0
49,Thornton/Drax/Eggborough,Keadby,2770.0,0.0
50,Thornton/Drax/Eggborough,Keadby,5540.0,0.0
51,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,5000.0,0.0
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,5000.0,0.0
53,Keadby,Feckenham,2780.0,0.0
54,Keadby,Feckenham,3820.0,0.0
55,Ratcliffe,Keadby,2150.0,0.0
56,Ratcliffe,Keadby,1890.0,0.0
57,Ratcliffe,Sundon/East Claydon,2100.0,0.0
58,Ratcliffe,Sundon/East Claydon,2100.0,0.0
59,Feckenham,Ratcliffe,3100.0,0.0
60,Feckenham,Ratcliffe,3460.0,0.0
61,Feckenham,Melksham,1970.0,0.0
62,Feckenham,Melksham,1970.0,0.0
63,Bramford,Kemsley,2780.0,0.0
64,Bramford,Kemsley,2780.0,0.0
65,Bramford,Walpole,1590.0,0.0
66,Bramford,Walpole,1590.0,0.0
67,Pelham,Keadby,2780.0,0.0
68,Pelham,Keadby,2780.0,0.0
69,Pelham,London,2780.0,0.0
70,Pelham,London,2780.0,0.0
71,Pelham,Bramford,2780.0,0.0
72,Pelham,Bramford,2780.0,0.0
73,Pelham,Walpole,3030.0,0.0
74,Pelham,Walpole,2780.0,0.0
75,Sundon/East Claydon,Keadby,2010.0,0.0
76,Sundon/East Claydon,Keadby,2010.0,0.0
77,Sundon/East Claydon,London,3275.0,0.0
78,Sundon/East Claydon,London,3275.0,0.0
79,Sundon/East Claydon,Pelham,2780.0,0.0
80,Sundon/East Claydon,Pelham,2780.0,0.0
81,Melksham,S.W.Penisula,2010.0,0.0
82,Melksham,Bramley,2780.0,0.0
83,Melksham,Bramley,4400.0,0.0
84,Melksham,Sundon/East Claydon,2780.0,0.0
85,Melksham,Sundon/East Claydon,2770.0,0.0
86,Melksham,S.W.Penisula,2010.0,0.0
87,Bramley,Lovedean,2210.0,0.0
88,Bramley,London,1390.0,0.0
89,Bramley,London,1390.0,0.0
90,Bramley,Lovedean,2210.0,0.0
91,London,Kemsley,6960.0,0.0
92,London,Kemsley,5540.0,0.0
93,Sellindge,Kemsley,3100.0,0.0
94,Sellindge,Kemsley,3100.0,0.0
95,Lovedean,Sellindge,3070.0,0.0
96,Lovedean,Sellindge,3070.0,0.0
97,S.W.Penisula,Lovedean,2780.0,0.0
98,S.W.Penisula,Lovedean,2780.0,0.0
