name,bus0,bus1,carrier,p_nom_mw,length_km
Z1_3-Z1_1,Z1_3,Z1_1,DC,3500.0,0.0
Z1_3-Z1_2,Z1_3,Z1_2,DC,3500.0,0.0
Z2-Z1_3,Z2,Z1_3,DC,6000.0,0.0
Z7-Z2,Z7,Z2,DC,6000.0,0.0
Z9-Z3,Z9,Z3,DC,8000.0,0.0
Z1_4-Z1_2,Z1_4,Z1_2,AC,2000.0,0.0
Z1_4-Z1_3,Z1_4,Z1_3,AC,3000.0,0.0
Z2-Z1_4,Z2,Z1_4,AC,4000.0,0.0
Z3-Z2,Z3,Z2,AC,6000.0,0.0
Z4-Z3,Z4,Z3,AC,8000.0,0.0
Z5-Z3,Z5,Z3,AC,8000.0,0.0
Z6-Z5,Z6,Z5,AC,8000.0,0.0
Z7-Z6,Z7,Z6,AC,8000.0,0.0
Z8-Z7,Z8,Z7,AC,6000.0,0.0
Z9-Z7,Z9,Z7,AC,6000.0,0.0
Z9-Z8,Z9,Z8,AC,6000.0,0.0
Z10-Z8,Z10,Z8,AC,8000.0,0.0
Z11-Z9,Z11,Z9,AC,8000.0,0.0
Z11-Z10,Z11,Z10,AC,8000.0,0.0
Z12-Z10,Z12,Z10,AC,8000.0,0.0
Z12-Z11,Z12,Z11,AC,8000.0,0.0
Z13-Z11,Z13,Z11,AC,5000.0,0.0
Z13-Z12,Z13,Z12,AC,5000.0,0.0
Z14-Z12,Z14,Z12,AC,10000.0,0.0
Z15-Z12,Z15,Z12,AC,6000.0,0.0
Z15-Z14,Z15,Z14,AC,10000.0,0.0
Z16-Z13,Z16,Z13,AC,6000.0,0.0
Z16-Z14,Z16,Z14,AC,10000.0,0.0
Z16-Z15,Z16,Z15,AC,6000.0,0.0
Z17-Z13,Z17,Z13,AC,4000.0,0.0
Z17-Z16,Z17,Z16,AC,4000.0,0.0
IC_Britned,Z15,HVDC_External_Netherlands_Maasvlakte,DC,1000.0,0.0
IC_IFA,Z15,HVDC_External_France_Calais,DC,1988.0,0.0
IC_IFA2,Z16,HVDC_External_France_Calais,DC,1000.0,0.0
IC_Nemo Link,Z15,HVDC_External_Belgium_Zeebrugge,DC,1020.0,0.0
IC_ElecLink,Z15,HVDC_External_France_Calais,DC,1000.0,0.0
IC_East West Interconnector,Z9,HVDC_External_Ireland_Rush_North_Beach,DC,505.0,0.0
