carrier,generation_mwh,emissions_t,generation_twh,mean_factor_gCO2_per_kWh
wind_offshore,61673841.839172356,0.0,61.673841839172354,0.0
CCGT,58820303.338581525,23175199.51540112,58.820303338581525,394.0
nuclear,37947808.524748094,0.0,37.9478085247481,0.0
wind_onshore,37913692.30973076,0.0,37.91369230973076,0.0
EU_import,24029102.00000005,4124420.5190000026,24.029102000000048,171.6427238521021
waste_to_energy,20303804.966811698,6091141.49004351,20.303804966811697,300.00000000000006
solar_pv,9332640.498297758,0.0,9.332640498297758,0.0
landfill_gas,5766939.959046536,692032.7950855843,5.766939959046536,120.0
OCGT,3603445.7573339147,2345843.188024379,3.603445757333915,651.0000000000001
coal,3361548.722153952,3149771.1526582534,3.3615487221539517,937.0000000000001
large_hydro,3349066.9594539567,0.0,3.349066959453957,0.0
advanced_biofuel,2638733.054192606,316647.9665031127,2.6387330541926057,120.0
biogas,2485184.2102699415,298222.10523239296,2.4851842102699413,120.0
storage_discharge,2037819.9096145413,0.0,2.0378199096145413,0.0
small_hydro,588997.310039963,0.0,0.588997310039963,0.0
sewage_gas,376544.6401296189,45185.35681555426,0.3765446401296189,119.99999999999997
shoreline_wave,122819.28549354368,0.0,0.12281928549354368,0.0
tidal_stream,22418.45536496325,0.0,0.02241845536496325,0.0
oil,91.5749452754308,85.6225738325278,9.157494527543081e-05,935.0
load_shedding,0.5169937981368816,0.0,5.169937981368816e-07,0.0
