date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01-01,76.0,68.5,65.0,67.5,72.0,72.5,72.5,74.5,77.5,78.0,85.0,89.5,91.5,93.5,108.5,137.0,152.5,161.0,159.0,162.0,163.0,159.0,151.5,152.5
2023-01-02,140.5,128.0,124.5,120.0,124.0,121.0,133.5,151.5,158.5,163.5,152.0,153.5,150.0,160.0,166.5,187.5,194.0,203.5,203.0,204.5,196.0,178.0,144.0,112.0
2023-01-03,101.5,98.0,94.5,86.0,75.5,79.5,82.0,101.0,111.0,115.0,117.5,118.0,118.5,119.0,125.5,133.0,131.5,131.0,124.5,98.5,76.5,68.5,69.0,63.5
2023-01-04,67.5,70.0,63.0,55.0,52.5,58.5,60.0,64.5,65.5,64.0,60.5,54.0,56.5,55.5,60.5,71.0,85.0,91.0,89.0,82.0,72.5,57.0,53.0,64.0
2023-01-05,67.0,69.0,70.5,73.0,82.5,93.0,119.5,145.5,157.0,161.5,162.5,147.0,137.5,126.0,123.5,114.5,122.0,122.0,115.0,91.0,63.0,51.0,54.5,57.5
2023-01-06,64.0,58.0,62.5,63.5,56.0,64.5,75.0,83.5,91.0,90.0,91.5,89.0,92.0,96.5,109.0,126.0,135.0,134.0,122.5,97.0,73.0,64.0,50.5,53.0
2023-01-07,58.5,55.0,52.5,52.5,60.5,63.5,64.5,60.5,70.5,79.0,76.0,72.5,70.5,68.0,66.0,65.0,64.0,70.5,65.5,54.5,58.5,63.0,71.0,65.5
2023-01-08,61.5,62.5,71.0,68.5,63.0,61.5,75.5,58.0,58.0,58.5,54.5,57.0,65.0,62.5,66.0,72.0,93.5,101.5,93.5,87.5,78.0,75.5,66.0,61.5
2023-01-09,67.0,71.0,70.0,61.5,59.0,70.5,82.0,99.0,101.0,92.5,86.0,86.0,79.5,84.5,88.0,103.0,109.5,108.5,107.5,108.0,90.5,76.0,56.0,55.5
2023-01-10,64.5,63.5,72.0,74.0,71.5,70.0,89.0,109.0,98.5,94.0,93.0,97.0,99.0,93.5,87.5,83.5,86.0,85.0,77.5,72.0,62.5,65.0,61.5,78.0
2023-01-11,78.5,64.0,69.5,61.0,73.5,78.0,78.0,72.0,69.5,67.0,58.0,54.5,63.0,70.0,70.5,71.0,87.0,92.5,91.5,85.5,74.5,63.5,63.5,59.5
2023-01-12,62.5,63.5,59.0,65.5,62.0,72.5,78.5,93.5,109.0,108.0,100.5,92.5,82.5,76.0,69.5,69.5,77.5,84.0,83.0,74.0,67.5,66.0,67.5,59.5
2023-01-13,66.5,66.0,57.0,59.5,56.0,63.5,74.5,74.0,74.5,76.0,73.0,73.0,76.5,72.5,77.5,89.5,113.5,128.0,130.0,125.0,124.5,116.0,89.0,85.0
2023-01-14,75.0,69.0,70.0,75.0,66.5,73.0,67.5,66.5,68.5,63.5,60.5,61.0,60.0,55.0,51.0,48.5,60.0,74.0,71.5,59.5,59.0,52.0,54.5,51.0
2023-01-15,56.5,55.0,64.0,72.0,64.5,64.5,67.0,66.0,73.5,64.5,73.0,81.0,97.0,107.0,124.0,153.0,180.0,191.0,197.0,208.0,202.0,199.5,192.0,178.0
2023-01-16,183.5,179.5,165.5,146.5,136.5,136.0,155.5,184.0,192.5,190.5,183.0,185.0,183.5,175.0,168.5,186.0,194.0,193.5,197.5,190.5,202.5,204.0,191.5,183.0
2023-01-17,199.0,201.0,190.5,184.5,197.0,222.5,247.0,244.0,237.5,230.5,228.0,210.5,206.0,207.5,222.0,223.5,221.5,216.5,218.0,209.0,206.5,184.0,155.0,116.5
2023-01-18,107.0,104.5,94.0,97.5,102.5,119.0,155.0,185.5,195.0,192.0,187.0,179.0,175.5,178.5,200.0,200.0,204.0,202.5,200.5,202.0,199.0,187.5,166.0,164.0
2023-01-19,165.0,163.5,169.0,174.0,183.5,191.5,223.0,238.0,243.0,236.0,226.5,217.5,215.0,215.0,223.5,225.5,227.0,227.5,222.5,220.0,217.0,199.5,183.5,164.5
2023-01-20,164.0,164.0,149.5,145.0,161.5,183.5,216.0,234.0,235.5,230.5,222.0,216.0,218.5,225.5,226.5,233.0,238.5,234.5,236.5,231.0,237.0,228.0,221.0,188.5
2023-01-21,183.0,180.0,178.0,179.5,183.5,186.0,192.0,215.0,213.5,199.5,190.5,181.5,179.0,183.5,186.5,200.5,209.5,208.0,211.0,211.5,200.5,193.0,190.0,157.5
2023-01-22,141.5,140.5,140.0,137.0,139.0,140.0,158.0,178.5,197.5,189.5,185.0,185.0,188.5,196.0,213.0,218.5,224.5,226.0,228.5,236.5,238.5,237.0,234.0,219.0
2023-01-23,227.5,224.0,224.0,218.0,224.5,222.0,250.5,263.0,262.5,250.5,245.0,238.5,236.0,241.5,248.5,248.0,252.5,251.0,252.5,255.5,255.0,255.5,249.0,235.5
2023-01-24,235.5,238.5,231.5,230.5,230.5,251.5,267.5,272.5,266.5,258.0,241.5,148.0,238.5,239.0,248.5,250.5,254.5,254.5,255.5,258.0,263.5,253.0,240.5,219.5
2023-01-25,218.5,216.0,210.5,206.0,211.0,214.0,229.0,235.0,229.0,230.0,223.5,220.0,226.5,229.5,227.0,235.0,228.5,220.0,210.5,207.0,199.0,186.5,173.0,152.5
