bus,v_nom_kv,carrier,country,total_generation_mwh,total_emissions_t,gen_view_gCO2_per_kWh,total_gross_input_mwh,cons_view_gCO2_per_kWh
Beauly,275.0,AC,GB,3448150.719,127528.339,36.985,4828634.018,26.455
Peterhead,275.0,AC,GB,7701303.914,189243.529,24.573,8995716.341,27.24
Errochty,275.0,AC,GB,1962706.026,1622.363,0.827,4016224.538,11.282
Denny/Bonnybridge,275.0,AC,GB,1384050.504,138372.575,99.977,12609072.609,30.332
Neilston,400.0,AC,GB,3835127.531,188760.376,49.219,17372271.39,28.491
Strathaven,400.0,AC,GB,4989771.256,47485.111,9.516,10463498.525,17.4
Torness,400.0,AC,GB,15993708.035,106581.886,6.664,16184796.063,6.78
Eccles,400.0,AC,GB,402640.367,6798.869,16.886,13060897.186,6.909
Harker,400.0,AC,GB,2070838.571,8620.994,4.163,5744293.214,14.149
Stella West,400.0,AC,GB,11186219.777,475321.623,42.492,33412062.633,26.554
Penwortham,400.0,AC,GB,16954515.06,102931.046,6.071,21345226.006,11.715
Deeside,400.0,AC,GB,16104552.521,3165092.305,196.534,34161313.427,110.942
Daines,400.0,AC,GB,12090274.984,1739584.485,143.883,28828224.406,94.604
Th. Marsh/Stocksbridge,400.0,AC,GB,1000500.743,160161.519,160.081,15362877.055,133.841
Thornton/Drax/Eggborough,400.0,AC,GB,9383164.733,2956118.228,315.045,28048279.902,122.413
Keadby,400.0,AC,GB,11717846.744,1639518.046,139.916,23006713.732,119.449
Ratcliffe,400.0,AC,GB,12556308.261,4315004.707,343.652,19299478.943,263.051
Feckenham,400.0,AC,GB,4111852.755,1012780.008,246.307,27943416.568,153.295
Walpole,400.0,AC,GB,21436076.847,210699.864,9.829,22112483.794,18.568
Bramford,400.0,AC,GB,27401254.73,4899090.212,178.791,30970358.666,159.815
Pelham,400.0,AC,GB,2535527.789,581362.286,229.286,29641374.832,93.881
Sundon/East Claydon,400.0,AC,GB,4676392.603,1117215.254,238.905,31736939.472,141.792
Melksham,400.0,AC,GB,12455699.772,2876770.577,230.96,32528094.164,178.943
Bramley,400.0,AC,GB,10052599.059,3781014.67,376.123,18794913.026,252.56
London,400.0,AC,GB,6272849.53,1785056.774,284.569,41010192.606,192.475
Kemsley,400.0,AC,GB,4850070.5,1240455.892,255.76,29432787.498,194.188
Sellindge,400.0,AC,GB,2030387.979,14771.686,7.275,20915167.009,111.489
Lovedean,400.0,AC,GB,4615659.822,819513.278,177.551,21045639.192,123.869
S.W.Penisula,400.0,AC,GB,8705392.736,2074463.023,238.296,21910696.049,171.007
HVDC_External_Netherlands_Maasvlakte,400.0,AC,Netherlands,4203295.0,1992361.83,474.0,5775888.0,388.282
HVDC_External_France_Calais,400.0,AC,France,15602271.0,826920.363,53.0,18344369.0,68.525
HVDC_External_Belgium_Zeebrugge,400.0,AC,Belgium,3982539.0,1194761.7,300.0,4984948.0,262.363
HVDC_External_Norway_Kvilldal,400.0,AC,Norway,8944639.0,313062.365,35.0,9354333.0,34.08
HVDC_External_Ireland_Rush_North_Beach,400.0,AC,Ireland,240997.0,110376.626,458.0,2098344.0,155.016
