carrier,generation_mwh,emissions_t,generation_twh,mean_factor_gCO2_per_kWh
wind_offshore,61566218.482543066,0.0,61.566218482543064,0.0
CCGT,59360468.37604936,23388024.54016345,59.36046837604936,394.0
nuclear,38298092.639156446,0.0,38.298092639156444,0.0
EU_import,32973741.000000004,4437482.884000001,32.973741000000004,134.57626430680097
wind_onshore,29843048.967884168,0.0,29.84304896788417,0.0
waste_to_energy,20925677.30168502,6277703.190505506,20.92567730168502,300.0
solar_pv,9294139.06980102,0.0,9.29413906980102,0.0
landfill_gas,6058978.960869044,727077.4753042853,6.058978960869044,120.0
OCGT,2992007.6767551005,1947796.9975675705,2.9920076767551005,651.0
coal,2946790.9051618236,2761143.078136629,2.9467909051618237,937.0
advanced_biofuel,2692528.7198031247,323103.4463763749,2.6925287198031245,119.99999999999999
biogas,2560220.1880669068,307226.4225680288,2.5602201880669067,120.0
large_hydro,2294589.5214038854,0.0,2.2945895214038856,0.0
storage_discharge,2071851.6254222242,0.0,2.0718516254222243,0.0
small_hydro,466262.2586338495,0.0,0.4662622586338495,0.0
sewage_gas,414642.6581048287,49757.11897257944,0.4146426581048287,120.0
shoreline_wave,120810.36192937136,0.0,0.12081036192937136,0.0
tidal_stream,18999.900593665312,0.0,0.01899990059366531,0.0
oil,114.7121950495692,107.2559023713472,0.0001147121950495692,934.9999999999999
load_shedding,1.5414477181081756,0.0,1.5414477181081757e-06,0.0
