bus,v_nom_kv,carrier,country,total_generation_mwh,total_emissions_t,gen_view_gCO2_per_kWh,total_gross_input_mwh,cons_view_gCO2_per_kWh
Z10,400.0,AC,GB,34745810.235,3322041.624,95.61,40070077.959,119.056
Z11,400.0,AC,GB,8086366.56,1952169.401,241.415,33994974.319,193.602
Z12,400.0,AC,GB,27557438.263,7154766.706,259.631,39392857.828,209.945
Z13,400.0,AC,GB,6988030.933,402727.217,57.631,18402678.863,164.116
Z14,400.0,AC,GB,9630285.955,2727528.816,283.224,36668764.319,211.057
Z15,400.0,AC,GB,15253583.226,1620977.846,106.269,41341132.718,162.798
Z16,400.0,AC,GB,14545591.371,4377166.699,300.927,23980613.683,238.947
Z17,400.0,AC,GB,11995260.884,3602347.277,300.314,13227104.965,278.917
Z1_1,400.0,AC,GB,113976.376,6.863,0.06,4539823.456,90.961
Z1_2,400.0,AC,GB,428081.956,19.077,0.045,4544380.945,72.12
Z1_3,400.0,AC,GB,3287196.695,5.287,0.002,18376487.056,93.366
Z1_4,400.0,AC,GB,4508859.637,0.0,0.0,7609683.394,57.186
Z2,400.0,AC,GB,15346816.688,1092385.172,71.18,26283732.712,110.703
Z3,400.0,AC,GB,1675072.579,66480.09,39.688,40854401.076,128.228
Z4,400.0,AC,GB,2596592.205,193133.827,74.38,5469263.312,116.038
Z5,400.0,AC,GB,17397973.075,387930.033,22.297,21869351.012,51.24
Z6,400.0,AC,GB,7744181.647,19502.443,2.518,21324256.877,113.699
Z7,400.0,AC,GB,10786936.479,253733.586,23.522,45727660.433,157.26
Z8,400.0,AC,GB,17819258.977,5667864.978,318.075,34046466.671,234.264
Z9,400.0,AC,GB,39838388.089,3273342.252,82.166,65171194.526,141.483
HVDC_External_Netherlands_Maasvlakte,400.0,AC,Netherlands,4203295.0,1992361.83,474.0,5775888.0,384.384
HVDC_External_France_Calais,400.0,AC,France,15602271.0,826920.363,53.0,18344369.0,70.715
HVDC_External_Belgium_Zeebrugge,400.0,AC,Belgium,3982539.0,1194761.7,300.0,4984948.0,271.025
HVDC_External_Ireland_Rush_North_Beach,400.0,AC,Ireland,240997.0,110376.626,458.0,2098344.0,171.398
