bus,area_name
Beauly,Scottish Highlands
Peterhead,Aberdeen and North East Scotland
Errochty,Perthshire and Tayside
Denny/Bonnybridge,Central Scotland (Falkirk)
Neilston,Greater Glasgow and Renfrewshire
Strathaven,South Lanarkshire and Ayrshire
Torness,Lothian and Borders
Eccles,Scottish Borders
Harker,Cumbria
Stella West,Tyneside and Northumberland
Penwortham,Central Lancashire
Deeside,North Wales and Chester
Daines,Greater Manchester and Cheshire
Th. Marsh/Stocksbridge,Sheffield and South Yorkshire
Thornton/Drax/Eggborough,Selby and the Aire Valley
Keadby,Humber and North Lincolnshire
Ratcliffe,Nottingham and the East Midlands
Feckenham,Worcestershire and Warwickshire
Walpole,The Wash and West Norfolk
Bramford,Suffolk and East Anglia
Pelham,Hertfordshire and North Essex
Sundon/East Claydon,Bedfordshire and Buckinghamshire
Melksham,Wiltshire and the West Country
Bramley,North Hampshire and Berkshire
London,Greater London
Kemsley,North Kent and the Thames Estuary
Sellindge,East Kent and the Channel
Lovedean,South Hampshire and the Solent
S.W.Penisula,South West England
HVDC_External_Netherlands_Maasvlakte,Netherlands interconnector (BritNed)
HVDC_External_France_Calais,France interconnector (IFA)
HVDC_External_Belgium_Zeebrugge,Belgium interconnector (Nemo Link)
HVDC_External_Norway_Kvilldal,Norway interconnector (North Sea Link)
HVDC_External_Ireland_Rush_North_Beach,Ireland interconnector (EWIC)
