bus,v_nom_kv,country,x_bng,y_bng,lon,lat,total_generation_mwh,total_emissions_t,gen_view_gCO2_per_kWh,dominant_carrier
ABBA1-,132.0,GB,395692.5,806146.3,-2.07282,57.14618,564508.0,94459.2,167.33,wind_offshore
ABNE1Q,132.0,GB,320119.1,717095.7,-3.29375,56.33946,113347.0,16013.4,141.278,waste_to_energy
ABNE1R,132.0,GB,320119.1,717095.7,-3.29375,56.33946,0.0,0.0,,load_shedding
AIGA1Q,132.0,GB,245905.5,841253.7,-4.56861,57.43539,11.3,0.0,0.0,load_shedding
ALNE1Q,132.0,GB,264592.1,870977.6,-4.2742,57.70813,31.1,0.0,0.0,solar_pv
ALNE1R,132.0,GB,264592.1,870977.6,-4.2742,57.70813,12.3,0.0,0.0,load_shedding
ALYT2A,275.0,GB,324607.9,748532.3,-3.23026,56.62255,94163.6,0.0,0.0,wind_onshore
ALYT2B,275.0,GB,324607.9,748532.3,-3.23026,56.62255,0.0,0.0,,load_shedding
AMUL1E,132.0,GB,290022.3,736635.5,-3.78859,56.50888,12.0,0.0,0.0,load_shedding
AMUL1F,132.0,GB,290022.3,736635.5,-3.78859,56.50888,11.9,0.0,0.0,load_shedding
AMUL1G,132.0,GB,290022.3,736635.5,-3.78859,56.50888,12.0,0.0,0.0,load_shedding
AMUL1H,132.0,GB,290022.3,736635.5,-3.78859,56.50888,11.9,0.0,0.0,load_shedding
ANSU1-,132.0,GB,281353.4,807081.2,-3.96216,57.13926,12.2,0.0,0.0,load_shedding
ARBR1Q,132.0,GB,362053.7,741493.2,-2.61904,56.56386,11.9,0.0,0.0,load_shedding
ARBR1R,132.0,GB,362053.7,741493.2,-2.61904,56.56386,11.6,0.0,0.0,load_shedding
ARDK1-,132.0,GB,217165.1,714450.3,-4.9555,56.28717,12.0,0.0,0.0,load_shedding
ARMO1J,132.0,GB,122255.6,861105.4,-6.645,57.55443,8.4,0.0,0.0,load_shedding
BEAT4-,400.0,GB,342739.0,848567.8,-2.95771,57.52363,11.2,0.0,0.0,load_shedding
BEAU1J,132.0,GB,250766.3,844661.9,-4.4898,57.4676,0.0,0.0,,load_shedding
BEAU1K,132.0,GB,250766.3,844661.9,-4.4898,57.4676,0.0,0.0,,load_shedding
BEAU1L,132.0,GB,250766.3,844661.9,-4.4898,57.4676,12.0,0.0,0.0,load_shedding
