carrier,generation_mwh,emissions_t,generation_twh,mean_factor_gCO2_per_kWh
CCGT,82963297.95145479,32687539.392873187,82.96329795145479,394.0
nuclear,36699324.34550414,0.0,36.699324345504145,0.0
wind_offshore,35050394.54317679,0.0,35.05039454317679,0.0
EU_import,33400213.000003662,4565424.484000249,33.40021300000366,136.68848411235427
wind_onshore,30757725.517765045,0.0,30.757725517765046,0.0
waste_to_energy,21001642.025077756,6300492.607523327,21.001642025077757,300.0
solar_pv,8998766.692534616,0.0,8.998766692534616,0.0
OCGT,6297314.740604922,4099551.896133804,6.297314740604922,651.0
landfill_gas,5960398.8129064925,715247.8575487791,5.960398812906493,120.0
coal,4335936.645116083,4062772.6364737693,4.3359366451160835,936.9999999999999
large_hydro,2985298.188469112,0.0,2.985298188469112,0.0
advanced_biofuel,2777723.434194297,333326.81210331566,2.777723434194297,120.00000000000001
biogas,2612840.2924696673,313540.83509636007,2.6128402924696674,120.0
storage_discharge,741989.7677451257,0.0,0.7419897677451257,0.0
small_hydro,516074.6490886192,0.0,0.5160746490886192,0.0
sewage_gas,415489.94987762335,49858.7939853148,0.41548994987762333,120.0
shoreline_wave,121565.79066843279,0.0,0.12156579066843279,0.0
oil,24832.510104288598,23218.396947509842,0.024832510104288597,935.0000000000001
load_shedding,22318.716376753633,0.0,0.022318716376753634,0.0
tidal_stream,19763.291544490978,0.0,0.01976329154449098,0.0
