regionid,CCGT,nuclear,wind_offshore,EU_import,wind_onshore,waste_to_energy,solar_pv,OCGT,landfill_gas,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,oil,load_shedding,tidal_stream
1,511710.82,0.0,0.0,0.0,0.0,68854.73000000001,0.0,0.0,9070.32,0.0,0.0,0.0,5764.53,0.0,0.0,0.0,0.0,5506.41,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,337018.74,0.0,0.0,52198.69,0.0,0.0,54119.97,15585.93,0.0,0.0,0.0,0.0,845.59,0.0,0.0
3,452749.46,0.0,0.0,0.0,0.0,116128.81,0.0,74751.36,79540.13,0.0,0.0,0.0,15550.960000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,267960.03,0.0,0.0,0.0,0.0,357963.0,0.0,0.0,26054.38,0.0,0.0,0.0,17132.15,0.0,0.0,4364.25,0.0,0.0,0.0,0.0
5,8545609.32,0.0,0.0,0.0,0.0,820035.73,0.0,2346389.3299999996,42075.520000000004,0.0,0.0,32143.64,38403.42,0.0,0.0,3069.12,0.0,0.0,0.0,0.0
6,1898413.01,0.0,0.0,0.0,0.0,792707.0499999999,0.0,0.0,40398.86,0.0,0.0,38441.92,13575.880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3397210.74,0.0,0.0,0.0,0.0,78688.54,0.0,0.0,31390.28,0.0,0.0,31301.600000000002,8146.61,0.0,0.0,5689.41,0.0,3850.52,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,709350.2000000001,0.0,187383.74,37370.95,0.0,0.0,53721.229999999996,20009.69,0.0,0.0,10114.3,0.0,0.0,0.0,0.0
9,4410954.9,0.0,0.0,0.0,0.0,245937.47,0.0,87373.06,77536.58,0.0,0.0,72478.62,38715.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4083184.3899999997,0.0,0.0,0.0,0.0,806779.95,0.0,867091.87,143192.7,4062772.64,0.0,9991.95,67426.28,0.0,0.0,1165.91,0.0,2502.68,0.0,0.0
11,1472802.11,0.0,0.0,0.0,0.0,338882.5,0.0,104866.1,29093.760000000002,0.0,0.0,17561.53,31023.379999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4502513.87,0.0,0.0,0.0,0.0,534412.1,0.0,315514.28,70427.03,0.0,0.0,19905.83,27600.649999999998,0.0,0.0,8319.59,0.0,7581.78,0.0,0.0
13,472350.1,0.0,0.0,0.0,0.0,734958.95,0.0,0.0,0.0,0.0,0.0,0.0,2841.64,0.0,0.0,16073.189999999999,0.0,2931.43,0.0,0.0
14,2672080.66,0.0,0.0,0.0,0.0,358774.81,0.0,116182.16,76898.65,0.0,0.0,3660.55,11764.52,0.0,0.0,1063.04,0.0,0.0,0.0,0.0
