regionid,CCGT,nuclear,wind_offshore,EU_import,wind_onshore,waste_to_energy,solar_pv,OCGT,landfill_gas,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,oil,load_shedding,tidal_stream
1,1298758.42,0.0,654291.48,0.0,9053084.09,229515.77,50736.69,0.0,75586.01,0.0,2721976.7,0.0,48037.79,557426.37,455831.16,0.0,4181.32,5889.21,5743.93,19763.29
2,0.0,6216031.75,622605.0599999999,0.0,9278017.68,1123395.84,21497.86,0.0,434989.01,0.0,0.0,450999.75,129882.8,74141.98999999999,4600.74,0.0,0.0,904.37,5099.8,0.0
3,1149110.29,14971675.32,1030410.97,0.0,1100791.48,387096.04,161642.69,114825.44,662834.36,0.0,0.0,0.0,129591.27,1028.3,0.0,0.0,0.0,0.0,1017.89,0.0
4,680101.59,7713118.16,387374.95999999996,0.0,1123666.51,1193210.02,126288.99,0.0,217119.82,0.0,0.0,0.0,142767.98,48397.17,0.0,36368.71,0.0,0.0,735.84,0.0
5,21689363.729999997,0.0,0.0,0.0,2196717.21,2733452.46,171757.27,3604284.67,350629.47000000003,0.0,0.0,267863.63,320028.43,4111.08,0.0,25575.99,0.0,0.0,1427.04,0.0
6,4818307.12,0.0,4168201.7800000003,0.0,1361811.78,2642356.82,275763.79000000004,0.0,336657.02999999997,0.0,263321.49,320349.32,113132.31,34353.5,17401.8,0.0,0.0,0.0,790.39,0.0
7,8622362.280000001,0.0,0.0,0.0,2208020.1,262295.14,737333.5,0.0,261585.72,0.0,0.0,260846.61000000002,67888.34,1373.81,31899.719999999998,47411.72,0.0,4118.2,540.28,0.0
8,0.0,0.0,0.0,0.0,273394.41000000003,2364500.69,680100.64,287839.85,311424.66,0.0,0.0,447676.87000000005,166747.39,4448.29,0.0,84285.87,0.0,0.0,646.32,0.0
9,11195317.0,0.0,2100943.33,0.0,1128584.49,819791.53,1243189.53,134213.61,646138.03,0.0,0.0,603988.47,322626.58999999997,3652.53,6341.22,0.0,0.0,0.0,784.21,0.0
10,10363412.16,7798499.12,0.0,0.0,1509477.8,2689266.53,1509943.67,1331938.36,1193272.6300000001,4335936.65,0.0,83266.26,561885.74,2674.12,0.0,9715.91,0.0,2676.66,1813.3799999999999,0.0
11,3738076.43,0.0,0.0,0.0,1087739.8599999999,1129608.3199999998,1426042.3900000001,161084.64,242447.97,0.0,0.0,146346.06,258528.28,2062.01,0.0,0.0,117384.47,0.0,374.97,0.0
12,11427700.18,0.0,0.0,0.0,24888.76,1781373.67,2040767.92,484660.96,586892.02,0.0,0.0,165881.89,230005.44,4482.95,0.0,69329.84999999999,0.0,8108.85,706.59,0.0
13,1198858.13,0.0,0.0,0.0,35921.64,2449863.1999999997,3689.39,0.0,0.0,0.0,0.0,0.0,23680.35,0.0,0.0,133943.23,0.0,3135.21,699.48,0.0
14,6781930.609999999,0.0,1579008.78,0.0,375609.64,1195916.02,549295.07,178467.22,640822.1,0.0,0.0,30504.57,98037.62,3837.6800000000003,0.0,8858.67,0.0,0.0,1007.09,0.0
