bus,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
Beauly,0.0,126661.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.54,0.0,0.0,0.0,0.0,0.0,0.0,17.96,0.0
Bramford,0.0,1564966.4,0.0,0.0,0.0,168875.47,0.0,15617.11,377249.46,2761143.08,0.0,10101.76,0.0,0.0,0.0,1119.03,0.0,0.0,17.91,0.0
Bramley,0.0,3562131.2,0.0,0.0,0.0,20934.11,0.0,23998.07,161952.64,0.0,0.0,10771.21,0.0,0.0,0.0,1207.19,0.0,0.0,20.24,0.0
Daines,0.0,1229875.63,0.0,0.0,0.0,310652.11,0.0,54699.99,131678.91,0.0,0.0,12677.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deeside,0.0,2423676.26,0.0,0.0,0.0,656596.89,0.0,25959.12,0.0,0.0,49470.08,9389.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denny/Bonnybridge,0.0,0.0,0.0,0.0,0.0,125003.41,0.0,4978.84,0.0,0.0,1291.08,7093.77,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0
Eccles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6798.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Errochty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feckenham,0.0,0.0,0.0,0.0,0.0,625633.89,0.0,40224.84,269000.23,0.0,50648.52,17505.56,0.0,0.0,0.0,9766.97,0.0,0.0,0.0,0.0
HVDC_External_Belgium_Zeebrugge,0.0,0.0,0.0,1194761.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_France_Calais,0.0,0.0,0.0,826920.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,0.0,0.0,110376.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,0.0,0.0,1992361.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Norway_Kvilldal,0.0,0.0,0.0,313062.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.59,0.0,0.0,0.0,5529.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keadby,0.0,925877.86,0.0,0.0,0.0,50995.99,0.0,22776.03,590970.96,0.0,29321.07,19576.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley,0.0,944713.45,0.0,0.0,0.0,252347.79,0.0,41580.68,0.0,0.0,0.0,1813.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London,0.0,321133.75,0.0,0.0,0.0,1278555.31,0.0,70552.93,73609.06,0.0,3400.15,15553.01,0.0,0.0,0.0,22242.01,0.0,0.0,10.56,0.0
Lovedean,0.0,639192.58,0.0,0.0,0.0,148754.75,0.0,22306.71,0.0,0.0,3151.81,6097.03,0.0,0.0,0.0,0.0,0.0,0.0,10.39,0.0
Melksham,0.0,2457162.61,0.0,0.0,0.0,289211.86,0.0,50071.96,0.0,0.0,48230.08,25340.03,0.0,0.0,0.0,6754.03,0.0,0.0,0.0,0.0
Neilston,0.0,0.0,0.0,0.0,0.0,160716.75,0.0,16777.34,0.0,0.0,6194.38,5068.03,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0
Pelham,0.0,420099.27,0.0,0.0,0.0,119750.62,0.0,19797.93,0.0,0.0,8591.99,13122.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penwortham,0.0,47220.05,0.0,0.0,0.0,0.0,0.0,51074.35,0.0,0.0,0.0,4636.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peterhead,0.0,170775.17,0.0,0.0,0.0,12506.38,0.0,3822.86,0.0,0.0,0.0,2128.97,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0
Ratcliffe,0.0,3958199.25,0.0,0.0,0.0,133753.54,0.0,35412.95,120488.89,0.0,51226.59,15923.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S.W.Penisula,0.0,1670867.66,0.0,0.0,0.0,174506.11,0.0,42338.8,147532.07,0.0,13507.56,25700.11,0.0,0.0,0.0,0.0,0.0,0.0,10.71,0.0
Sellindge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13671.82,0.0,0.0,0.0,1099.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stella West,0.0,85711.4,0.0,0.0,0.0,334222.69,0.0,31908.39,0.0,0.0,0.0,17801.91,0.0,0.0,0.0,5677.23,0.0,0.0,0.0,0.0
Strathaven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12568.32,0.0,0.0,34916.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundon/East Claydon,0.0,730459.96,0.0,0.0,0.0,298853.77,0.0,67498.51,0.0,0.0,6907.25,13495.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Th. Marsh/Stocksbridge,0.0,0.0,0.0,0.0,0.0,82673.8,0.0,10773.46,49425.96,0.0,0.0,14297.65,0.0,0.0,0.0,2990.65,0.0,0.0,0.0,0.0
