bus,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
Beauly,0.0,321476.76,0.0,0.0,1551434.1,0.0,26.49,0.0,0.0,0.0,0.0,7071.14,1136429.24,319308.22,109284.71,0.0,3100.78,0.0,19.21,0.07
Bramford,10790834.69,3971995.93,7798930.85,0.0,148721.44,562918.22,377902.06,130142.58,579492.26,2946790.91,0.0,84181.31,0.0,0.0,0.0,9325.26,0.0,0.0,19.15,0.06
Bramley,0.0,9040942.12,0.0,0.0,5818.5,69780.38,387187.02,199983.92,248775.18,0.0,0.0,89760.1,0.0,270.2,0.0,10059.95,0.0,0.0,21.65,0.05
Daines,0.0,3121511.75,6900557.61,0.0,174183.94,1035507.04,72165.35,455833.27,202271.76,0.0,0.0,105648.64,0.0,22595.56,0.0,0.0,0.0,0.0,0.0,0.06
Deeside,4169830.6,6151462.58,0.0,0.0,1538471.88,2188656.31,355942.26,216325.97,0.0,0.0,412250.66,78249.68,263644.73,700556.91,29160.91,0.0,0.0,0.0,0.0,0.04
Denny/Bonnybridge,0.0,0.0,0.0,0.0,743609.01,416678.02,34684.4,41490.36,0.0,0.0,10759.01,59114.74,0.0,44752.03,32957.02,0.0,0.0,0.0,5.86,0.05
Eccles,0.0,0.0,0.0,0.0,345983.1,0.0,0.0,0.0,0.0,0.0,56657.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Errochty,0.0,0.0,0.0,0.0,429440.04,0.0,159.57,13519.69,0.0,0.0,0.0,0.0,894515.55,408996.5,216074.6,0.0,0.0,0.0,0.0,0.07
Feckenham,0.0,0.0,0.0,0.0,182890.99,2085446.3,394086.53,335207.0,413210.79,0.0,422071.01,145879.68,0.0,30010.27,21658.71,81391.43,0.0,0.0,0.0,0.05
HVDC_External_Belgium_Zeebrugge,0.0,0.0,0.0,3982539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
