bus,v_nom_kv,country,x_bng,y_bng,lon,lat,total_generation_mwh,total_emissions_t,gen_view_gCO2_per_kWh,dominant_carrier
Beauly,275.0,GB,248167.6,845011.7,-4.5333,57.46988,3448150.7,127528.3,36.985,wind_onshore
Peterhead,275.0,GB,411831.0,843821.5,-1.80433,57.48448,7701303.9,189243.5,24.573,wind_offshore
Errochty,275.0,GB,274353.8,761097.0,-4.05491,56.72457,1962706.0,1622.4,0.827,large_hydro
Denny/Bonnybridge,275.0,GB,292803.1,692060.9,-3.72528,56.10924,1384050.5,138372.6,99.977,wind_onshore
Neilston,400.0,GB,248762.8,659923.3,-4.41479,55.80883,3835127.5,188760.4,49.219,wind_onshore
Strathaven,400.0,GB,282090.6,652781.6,-3.88027,55.75399,4989771.3,47485.1,9.516,wind_onshore
Torness,400.0,GB,368385.8,670040.7,-2.50745,55.9224,15993708.0,106581.9,6.664,nuclear
Eccles,400.0,GB,385644.9,642664.3,-2.22983,55.67725,402640.4,6798.9,16.886,wind_onshore
Harker,400.0,GB,345770.5,559939.9,-2.84782,54.93118,2070838.6,8621.0,4.163,wind_onshore
Stella West,400.0,GB,421353.2,565891.3,-1.66784,54.98716,11186219.8,475321.6,42.492,nuclear
Penwortham,400.0,GB,355292.8,431389.7,-2.67988,53.77691,16954515.1,102931.0,6.071,nuclear
Deeside,400.0,GB,328511.5,370090.3,-3.07221,53.22303,16104552.5,3165092.3,196.534,CCGT
Daines,400.0,GB,388025.4,384968.8,-2.1814,53.36146,12090275.0,1739584.5,143.883,nuclear
Th. Marsh/Stocksbridge,400.0,GB,440397.7,396871.6,-1.39294,53.46704,1000500.7,160161.5,160.081,waste_to_energy
Thornton/Drax/Eggborough,400.0,GB,466583.9,437936.3,-0.98975,53.83343,9383164.7,2956118.2,315.045,CCGT
Keadby,400.0,GB,487413.7,400442.5,-0.68387,53.49344,11717846.7,1639518.0,139.916,wind_offshore
Ratcliffe,400.0,GB,463013.0,331406.3,-1.06519,52.87644,12556308.3,4315004.7,343.652,CCGT
Feckenham,400.0,GB,402903.9,266536.1,-1.95884,52.29694,4111852.8,1012780.0,246.307,waste_to_energy
Walpole,400.0,GB,551688.8,317122.9,0.24497,52.73048,21436076.8,210699.9,9.829,wind_offshore
Bramford,400.0,GB,616559.0,248086.7,1.15965,52.08874,27401254.7,4899090.2,178.791,wind_offshore
Pelham,400.0,GB,548713.1,233803.4,0.16405,51.98279,2535527.8,581362.3,229.286,CCGT
Sundon/East Claydon,400.0,GB,493960.3,229637.4,-0.63404,51.95729,4676392.6,1117215.3,238.905,CCGT
Melksham,400.0,GB,384454.6,168933.2,-2.22494,51.4192,12455699.8,2876770.6,230.96,CCGT
Bramley,400.0,GB,471345.0,155245.0,-0.97822,51.29188,10052599.1,3781014.7,376.123,CCGT
London,400.0,GB,529668.6,183216.5,-0.13194,51.53297,6272849.5,1785056.8,284.569,waste_to_energy
Kemsley,400.0,GB,592753.4,167742.9,0.76818,51.37601,4850070.5,1240455.9,255.76,CCGT
Sellindge,400.0,GB,618344.4,138581.0,1.11756,51.10493,2030388.0,14771.7,7.275,wind_offshore
Lovedean,400.0,GB,470749.8,112990.0,-0.99502,50.91205,4615659.8,819513.3,177.551,wind_offshore
S.W.Penisula,400.0,GB,381478.9,121917.1,-2.26529,50.99635,8705392.7,2074463.0,238.296,CCGT
HVDC_External_Netherlands_Maasvlakte,400.0,Netherlands,815766.9,249665.9,4.0581,51.9889,4203295.0,1992361.8,474.0,EU_import
HVDC_External_France_Calais,400.0,France,671108.9,123965.2,1.8587,50.9513,15602271.0,826920.4,53.0,EU_import
HVDC_External_Belgium_Zeebrugge,400.0,Belgium,762567.0,168493.7,3.2026,51.2993,3982539.0,1194761.7,300.0,EU_import
HVDC_External_Norway_Kvilldal,400.0,Norway,856072.7,1079042.9,6.0333,59.35,8944639.0,313062.4,35.0,EU_import
HVDC_External_Ireland_Rush_North_Beach,400.0,Ireland,128806.8,410177.5,-6.0925,53.5181,240997.0,110376.6,458.0,EU_import
