regionid,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
1,0.0,297437.01,0.0,0.0,0.0,12506.38,0.0,5445.22,0.0,0.0,0.0,2977.5099999999998,0.0,0.0,0.0,0.0,0.0,0.0,28.090000000000003,0.0
2,0.0,0.0,0.0,0.0,0.0,371378.64,0.0,53210.47,0.0,0.0,49201.12,14199.24,0.0,0.0,0.0,0.0,0.0,0.0,9.36,0.0
3,0.0,1277095.68,0.0,0.0,0.0,310652.11,0.0,108865.93,131678.91,0.0,0.0,22843.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,85711.4,0.0,0.0,0.0,334222.69,0.0,31908.39,0.0,0.0,0.0,17801.91,0.0,0.0,0.0,5677.23,0.0,0.0,0.0,0.0
5,0.0,3035178.06,0.0,0.0,0.0,923165.65,0.0,49341.5,666285.74,0.0,29321.07,49515.13,0.0,0.0,0.0,2990.65,0.0,0.0,0.0,0.0
6,0.0,2423676.26,0.0,0.0,0.0,656596.89,0.0,25959.12,0.0,0.0,49470.08,9389.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,625633.89,0.0,40224.84,269000.23,0.0,50648.52,17505.56,0.0,0.0,0.0,9766.97,0.0,0.0,0.0,0.0
9,0.0,3958199.25,0.0,0.0,0.0,133753.54,0.0,35412.95,120488.89,0.0,51226.59,15923.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,2715525.63,0.0,0.0,0.0,745483.45,0.0,112188.07,377249.46,2761143.08,24946.46,70694.53,0.0,0.0,0.0,1119.03,0.0,0.0,17.91,0.0
12,0.0,8329354.05,0.0,0.0,0.0,633406.83,0.0,138715.54,309484.71,0.0,64889.45,67908.38,0.0,0.0,0.0,7961.22,0.0,0.0,41.34,0.0
13,0.0,321133.75,0.0,0.0,0.0,1278555.31,0.0,70552.93,73609.06,0.0,3400.15,15553.01,0.0,0.0,0.0,22242.01,0.0,0.0,10.56,0.0
14,0.0,944713.45,0.0,0.0,0.0,252347.79,0.0,55252.5,0.0,0.0,0.0,2913.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
