regionid,wind_offshore,CCGT,nuclear,EU_import,wind_onshore,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,advanced_biofuel,biogas,large_hydro,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
1,4811628.01,754916.29,0.0,0.0,4316478.37,41687.95,10520.82,45376.89,0.0,0.0,0.0,24812.579999999998,2030944.79,728304.72,325359.31000000006,0.0,3100.78,18999.9,30.05,0.2
2,4475153.83,0.0,7811950.64,0.0,11845804.739999998,1237928.79,66438.14,443420.55,0.0,0.0,410009.35000000003,118326.95999999999,0.0,112872.26000000001,83382.23999999999,0.0,0.0,0.0,10.010000000000002,0.18
3,8103067.04,3241359.6,14972908.71,0.0,2214812.71,1035507.04,224457.53,907216.11,202271.76,0.0,0.0,190365.7,0.0,23662.300000000003,0.0,0.0,0.0,0.0,0.0,0.15
4,388472.01,217541.62,7714302.44,0.0,1194608.61,1114075.64,68539.08,265903.29,0.0,0.0,0.0,148349.22,0.0,27117.53,0.0,47310.25,0.0,0.0,0.0,0.08
5,6226173.44,7703497.609999999,0.0,0.0,2331071.72,3077218.84,536361.79,411179.14,1023480.39,0.0,244342.21,412626.1,0.0,110638.73000000001,0.0,24922.08,0.0,0.0,0.0,0.18
6,4169830.6,6151462.58,0.0,0.0,1538471.88,2188656.31,355942.26,216325.97,0.0,0.0,412250.66,78249.68,263644.73,700556.91,29160.91,0.0,0.0,0.0,0.0,0.04
8,0.0,0.0,0.0,0.0,182890.99,2085446.3,394086.53,335207.0,413210.79,0.0,422071.01,145879.68,0.0,30010.27,21658.71,81391.43,0.0,0.0,0.0,0.05
9,0.0,10046191.0,0.0,0.0,444761.7,445845.13,563936.3,295107.96,185082.78,0.0,426888.26,132695.68,0.0,9098.33,6701.09,0.0,0.0,0.0,0.0,0.05
10,29719721.589999996,6892197.01,7798930.85,0.0,1808681.23,2484944.85,2014698.05,934900.58,579492.26,2946790.91,207887.18,589121.05,0.0,62541.770000000004,0.0,9325.26,0.0,0.0,19.15,0.22
12,1746194.64,21140492.5,0.0,0.0,3332011.25,2111356.14,4453511.54,1155962.85,475398.94999999995,0.0,540745.49,565903.21,0.0,123677.29,0.0,66343.51999999999,117709.58,0.0,44.22,0.25
13,0.0,815060.29,0.0,0.0,39999.34,4261851.02,95492.54,587941.11,113070.75,0.0,28334.56,129608.39,0.0,16130.06,0.0,185350.12,0.0,0.0,11.29,0.06
14,1925977.34,2397749.88,0.0,0.0,593456.44,841159.3,510154.52,460437.53,0.0,0.0,0.0,24281.93,0.0,127241.45000000001,0.0,0.0,0.0,0.0,0.0,0.09
