carrier,generation_mwh,emissions_t,generation_twh,mean_factor_gCO2_per_kWh
wind_offshore,61673956.7952096,0.0,61.6739567952096,0.0
CCGT,51107650.2645937,20136414.20424992,51.1076502645937,394.0
nuclear,37943086.555197045,0.0,37.94308655519705,0.0
wind_onshore,37914805.33381696,0.0,37.91480533381696,0.0
EU_import,32973741.0,4437482.884,32.973741,134.57626430680097
waste_to_energy,19871964.139281746,5961589.241784524,19.871964139281747,300.00000000000006
solar_pv,9333374.378532054,0.0,9.333374378532055,0.0
landfill_gas,5519133.727646978,662296.0473176372,5.519133727646977,119.99999999999999
OCGT,3909382.2239255924,2545007.8277755603,3.909382223925592,650.9999999999999
large_hydro,3349096.1757453117,0.0,3.3490961757453115,0.0
coal,3167024.1850479306,2967501.6613899115,3.1670241850479304,937.0000000000001
advanced_biofuel,2540239.8385272925,304828.7806232751,2.5402398385272926,120.0
biogas,2384602.360344113,286152.28324129357,2.384602360344113,120.00000000000001
storage_discharge,2202886.181826045,0.0,2.202886181826045,0.0
small_hydro,589126.6367943352,0.0,0.5891266367943352,0.0
sewage_gas,361953.5156412291,43434.42187694749,0.36195351564122913,120.0
shoreline_wave,122823.23480377591,0.0,0.12282323480377591,0.0
tidal_stream,22423.249107306932,0.0,0.022423249107306933,0.0
load_shedding,0.0,0.0,0.0,0.0
oil,0.0,0.0,0.0,0.0
