bus,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
HVDC_External_Belgium_Zeebrugge,0.0,0.0,0.0,0.0,1194761.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_France_Calais,0.0,0.0,0.0,0.0,826920.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,0.0,0.0,0.0,110376.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,0.0,0.0,0.0,1992361.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z10,0.0,2372557.83,0.0,0.0,0.0,47879.2,0.0,20107.98,842893.1,0.0,0.0,14455.11,24148.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z11,0.0,696567.71,0.0,0.0,0.0,787946.9,0.0,70918.18,272877.23,0.0,0.0,91686.04,23441.89,0.0,0.0,8731.44,0.0,0.0,0.0,0.0
Z12,0.0,2897586.19,0.0,0.0,0.0,457944.42,0.0,34587.61,570511.72,3149771.15,0.0,0.0,43274.46,0.0,0.0,1080.0,0.0,0.0,11.15,0.0
Z13,0.0,0.0,0.0,0.0,0.0,282063.76,0.0,45184.96,0.0,0.0,0.0,43449.77,25998.2,0.0,0.0,6030.53,0.0,0.0,0.0,0.0
Z14,0.0,1025252.63,0.0,0.0,0.0,1411920.21,0.0,122450.53,96223.74,0.0,0.0,17912.77,32518.89,0.0,0.0,21242.64,0.0,0.0,7.41,0.0
Z15,0.0,1318845.67,0.0,0.0,0.0,246474.53,0.0,52837.67,0.0,0.0,0.0,0.0,2819.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z16,0.0,3949905.64,0.0,0.0,0.0,166821.21,0.0,55053.77,175945.43,0.0,0.0,11794.34,17626.06,0.0,0.0,0.0,0.0,0.0,20.25,0.0
Z17,0.0,3240589.43,0.0,0.0,0.0,154579.22,0.0,26562.17,159259.89,0.0,0.0,3458.71,17890.82,0.0,0.0,0.0,0.0,0.0,7.04,0.0
Z1_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0
Z1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.08,0.0
Z1_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,0.0
Z1_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z2,0.0,1049240.88,0.0,0.0,0.0,27112.46,0.0,9864.4,0.0,0.0,0.0,0.0,6167.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3,0.0,0.0,0.0,0.0,0.0,62485.66,0.0,2673.06,0.0,0.0,0.0,0.0,1321.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z4,0.0,0.0,0.0,0.0,0.0,193129.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0
Z5,0.0,0.0,0.0,0.0,0.0,244910.88,0.0,65813.22,0.0,0.0,0.0,58964.78,18236.83,0.0,0.0,0.0,0.0,0.0,4.31,0.0
Z6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.48,0.0,0.0,0.0,8867.19,7224.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z7,0.0,0.0,0.0,0.0,0.0,200963.55,0.0,29040.28,0.0,0.0,0.0,0.0,18329.17,0.0,0.0,5400.58,0.0,0.0,0.0,0.0
Z8,0.0,4510740.49,0.0,0.0,0.0,941310.82,0.0,38456.41,117237.48,0.0,0.0,22167.21,35252.4,0.0,0.0,2700.17,0.0,0.0,0.0,0.0
Z9,0.0,2113913.03,0.0,0.0,0.0,865599.07,0.0,115072.09,110894.6,0.0,0.0,43892.05,23971.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
