bus,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
HVDC_External_Belgium_Zeebrugge,0.0,0.0,0.0,0.0,3982539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_France_Calais,0.0,0.0,0.0,0.0,15602271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Ireland_Rush_North_Beach,0.0,0.0,0.0,0.0,240997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HVDC_External_Netherlands_Maasvlakte,0.0,0.0,0.0,0.0,4203295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z10,25196046.94,6021720.39,0.0,874840.3,0.0,159597.32,683958.11,167566.48,1294766.67,0.0,0.0,120459.25,201236.72,25618.05,0.0,0.0,0.0,0.0,0.0,0.02
Z11,0.0,1767938.34,0.0,658092.72,0.0,2626489.68,955316.64,590984.87,419166.26,0.0,0.0,764050.34,195349.1,29515.6,6700.98,72761.99,0.0,0.0,0.0,0.02
Z12,3297627.61,7354279.68,7729646.3,1251925.52,0.0,1526481.41,1481266.64,288230.06,876362.09,3361548.72,0.0,0.0,360620.52,20437.8,0.0,8999.96,0.0,0.0,11.93,0.02
Z13,0.0,0.0,0.0,3054789.28,0.0,940212.53,1846638.13,376541.34,0.0,0.0,0.0,362081.38,216651.7,107776.56,33085.59,50254.4,0.0,0.0,0.0,0.02
Z14,0.0,2602164.04,0.0,134040.38,0.0,4706400.71,375183.94,1020421.04,147809.13,0.0,0.0,149273.1,270990.72,46972.93,0.0,177022.03,0.0,0.0,7.92,0.03
Z15,9419195.76,3347324.04,0.0,598884.44,0.0,821581.77,500029.71,440313.89,0.0,0.0,0.0,0.0,23499.79,102753.8,0.0,0.0,0.0,0.0,0.0,0.03
Z16,1746195.19,10025141.23,0.0,5818.49,0.0,556070.69,1219718.55,458781.4,270269.48,0.0,0.0,98286.18,146883.85,18404.64,0.0,0.0,0.0,0.0,21.66,0.02
Z17,0.0,8224846.27,0.0,990005.66,0.0,515264.07,1494203.71,221351.39,244638.84,0.0,0.0,28822.59,149090.13,9319.98,0.0,0.0,117710.68,0.0,7.53,0.02
Z1_1,0.0,0.0,0.0,110783.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.37,7.34,0.04
Z1_2,0.0,0.0,0.0,428061.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.04
Z1_3,84175.73,0.0,0.0,3107706.91,0.0,0.0,35.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70931.17,0.0,5108.61,19233.08,5.65,0.03
Z1_4,0.0,0.0,0.0,1255488.31,0.0,0.0,75.19,0.0,0.0,0.0,2871213.21,0.0,0.0,152076.6,230006.3,0.0,0.0,0.0,0.0,0.02
Z2,9250970.88,2663047.92,0.0,3163675.69,0.0,90374.87,37276.37,82203.32,0.0,0.0,0.0,0.0,51395.28,0.0,7872.33,0.0,0.0,0.0,0.0,0.03
Z3,0.0,0.0,0.0,773546.53,0.0,208285.52,24044.74,22275.47,0.0,0.0,214208.84,0.0,11011.48,260259.91,161440.07,0.0,0.0,0.0,0.0,0.02
Z4,0.0,0.0,0.0,1891594.88,0.0,643765.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61227.46,0.0,0.0,0.0,4.53,0.04
Z5,18250.49,0.0,7739831.88,7560323.14,0.0,816369.61,17925.81,548443.53,0.0,0.0,0.0,491373.14,151973.62,53477.21,0.0,0.0,0.0,0.0,4.61,0.02
Z6,612154.11,0.0,0.0,6941246.61,0.0,0.0,28260.54,28420.65,0.0,0.0,0.0,73893.24,60206.47,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Z7,388474.12,0.0,7643195.59,1533094.69,0.0,669878.5,90594.52,242002.36,0.0,0.0,0.0,0.0,152743.08,21948.72,0.0,45004.87,0.0,0.0,0.0,0.02
Z8,0.0,11448579.93,0.0,1991257.55,0.0,3137702.75,149730.4,320470.07,180088.29,0.0,0.0,184726.79,293769.96,90431.84,0.0,22501.38,0.0,0.0,0.0,0.02
Z9,11660751.02,5365261.5,14835134.75,1588516.07,0.0,2885330.24,428381.99,958934.1,170345.0,0.0,263644.91,365767.05,199761.78,1098826.26,17733.41,0.0,0.0,0.0,0.0,0.02
