bus,v_nom_kv,country,x_bng,y_bng,lon,lat,total_generation_mwh,total_emissions_t,gen_view_gCO2_per_kWh,dominant_carrier
Z10,400.0,GB,508272.7,361092.6,-0.383,53.136,34745810.2,3322041.6,95.61,wind_offshore
Z11,400.0,GB,424022.9,296855.6,-1.647,52.569,8086366.6,1952169.4,241.415,waste_to_energy
Z12,400.0,GB,567377.2,264587.5,0.4507,52.254,27557438.3,7154766.7,259.631,nuclear
Z13,400.0,GB,334887.6,213575.8,-2.946,51.817,6988030.9,402727.2,57.631,wind_onshore
Z14,400.0,GB,527922.3,183509.1,-0.157,51.536,9630286.0,2727528.8,283.224,waste_to_energy
Z15,400.0,GB,597051.3,160779.4,0.826,51.312,15253583.2,1620977.8,106.269,wind_offshore
Z16,400.0,GB,489488.7,127400.1,-0.725,51.039,14545591.4,4377166.7,300.927,CCGT
Z17,400.0,GB,287168.6,96489.6,-3.601,50.757,11995260.9,3602347.3,300.314,CCGT
Z1_1,400.0,GB,442008.8,1166135.4,-1.24,60.377,113976.4,6.9,0.06,wind_onshore
Z1_2,400.0,GB,114059.4,905200.8,-6.834,57.944,428082.0,19.1,0.045,wind_onshore
Z1_3,400.0,GB,256553.9,915703.3,-4.436,58.107,3287196.7,5.3,0.002,wind_onshore
Z1_4,400.0,GB,206362.2,807663.8,-5.2,57.119,4508859.6,0.0,0.0,large_hydro
Z2,400.0,GB,329189.9,810741.3,-3.173,57.182,15346816.7,1092385.2,71.18,wind_offshore
Z3,400.0,GB,273714.4,729642.6,-4.05,56.442,1675072.6,66480.1,39.688,wind_onshore
Z4,400.0,GB,169641.7,660079.7,-5.675,55.779,2596592.2,193133.8,74.38,wind_onshore
Z5,400.0,GB,285312.7,655257.8,-3.83,55.777,17397973.1,387930.0,22.297,nuclear
Z6,400.0,GB,305857.6,597651.5,-3.483,55.264,7744181.6,19502.4,2.518,wind_onshore
Z7,400.0,GB,388165.2,554376.8,-2.186,54.884,10786936.5,253733.6,23.522,nuclear
Z8,400.0,GB,455010.9,446751.4,-1.164,53.914,17819259.0,5667865.0,318.075,CCGT
Z9,400.0,GB,332921.0,388159.6,-3.01,53.386,39838388.1,3273342.3,82.166,nuclear
HVDC_External_Netherlands_Maasvlakte,400.0,Netherlands,815766.9,249665.9,4.0581,51.9889,4203295.0,1992361.8,474.0,EU_import
HVDC_External_France_Calais,400.0,France,671108.9,123965.2,1.8587,50.9513,15602271.0,826920.4,53.0,EU_import
HVDC_External_Belgium_Zeebrugge,400.0,Belgium,762567.0,168493.7,3.2026,51.2993,3982539.0,1194761.7,300.0,EU_import
HVDC_External_Ireland_Rush_North_Beach,400.0,Ireland,128806.8,410177.5,-6.0925,53.5181,240997.0,110376.6,458.0,EU_import
