regionid,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
1,0.0,1049240.88,0.0,0.0,0.0,282727.70999999996,0.0,12537.46,0.0,0.0,0.0,0.0,7488.81,0.0,0.0,0.0,0.0,0.0,35.47,0.0
2,0.0,0.0,0.0,0.0,0.0,244910.88,0.0,69223.7,0.0,0.0,0.0,67831.97,25461.61,0.0,0.0,0.0,0.0,0.0,4.31,0.0
4,0.0,4510740.49,0.0,0.0,0.0,1142274.3699999999,0.0,67496.69,117237.48,0.0,0.0,22167.21,53581.57,0.0,0.0,8100.75,0.0,0.0,0.0,0.0
6,0.0,2113913.03,0.0,0.0,0.0,865599.07,0.0,115072.09,110894.6,0.0,0.0,43892.05,23971.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,282063.76,0.0,45184.96,0.0,0.0,0.0,43449.77,25998.2,0.0,0.0,6030.53,0.0,0.0,0.0,0.0
9,0.0,3069125.54,0.0,0.0,0.0,835826.1,0.0,91026.15999999999,1115770.33,0.0,0.0,106141.15,47590.3,0.0,0.0,8731.44,0.0,0.0,0.0,0.0
10,0.0,2897586.19,0.0,0.0,0.0,457944.42,0.0,34587.61,570511.72,3149771.15,0.0,0.0,43274.46,0.0,0.0,1080.0,0.0,0.0,11.15,0.0
11,0.0,3240589.43,0.0,0.0,0.0,154579.22,0.0,26562.17,159259.89,0.0,0.0,3458.71,17890.82,0.0,0.0,0.0,0.0,0.0,7.04,0.0
12,0.0,3949905.64,0.0,0.0,0.0,166821.21,0.0,55053.77,175945.43,0.0,0.0,11794.34,17626.06,0.0,0.0,0.0,0.0,0.0,20.25,0.0
13,0.0,1025252.63,0.0,0.0,0.0,1411920.21,0.0,122450.53,96223.74,0.0,0.0,17912.77,32518.89,0.0,0.0,21242.64,0.0,0.0,7.41,0.0
14,0.0,1318845.67,0.0,0.0,0.0,246474.53,0.0,52837.67,0.0,0.0,0.0,0.0,2819.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
