regionid,wind_offshore,CCGT,nuclear,wind_onshore,EU_import,waste_to_energy,solar_pv,landfill_gas,OCGT,coal,large_hydro,advanced_biofuel,biogas,storage_discharge,small_hydro,sewage_gas,shoreline_wave,tidal_stream,oil,load_shedding
1,9335146.610000001,2663047.92,0.0,10730857.45,0.0,942425.6900000001,61431.81,104478.79000000001,0.0,0.0,3085422.05,0.0,62406.759999999995,412336.51,531477.33,0.0,5108.61,22418.45,37.92,0.22
2,630404.6,0.0,7739831.88,14501569.75,0.0,816369.61,46186.350000000006,576864.18,0.0,0.0,0.0,565266.38,212180.09,53477.21,0.0,0.0,0.0,0.0,4.61,0.04
4,388474.12,11448579.93,7643195.59,3524352.24,0.0,3807581.25,240324.91999999998,562472.4299999999,180088.29,0.0,0.0,184726.79,446513.04000000004,112380.56,0.0,67506.25,0.0,0.0,0.0,0.04
6,11660751.02,5365261.5,14835134.75,1588516.07,0.0,2885330.24,428381.99,958934.1,170345.0,0.0,263644.91,365767.05,199761.78,1098826.26,17733.41,0.0,0.0,0.0,0.0,0.02
7,0.0,0.0,0.0,3054789.28,0.0,940212.53,1846638.13,376541.34,0.0,0.0,0.0,362081.38,216651.7,107776.56,33085.59,50254.4,0.0,0.0,0.0,0.02
9,25196046.94,7789658.7299999995,0.0,1532933.02,0.0,2786087.0,1639274.75,758551.35,1713932.93,0.0,0.0,884509.59,396585.82,55133.649999999994,6700.98,72761.99,0.0,0.0,0.0,0.04
10,3297627.61,7354279.68,7729646.3,1251925.52,0.0,1526481.41,1481266.64,288230.06,876362.09,3361548.72,0.0,0.0,360620.52,20437.8,0.0,8999.96,0.0,0.0,11.93,0.02
11,0.0,8224846.27,0.0,990005.66,0.0,515264.07,1494203.71,221351.39,244638.84,0.0,0.0,28822.59,149090.13,9319.98,0.0,0.0,117710.68,0.0,7.53,0.02
12,1746195.19,10025141.23,0.0,5818.49,0.0,556070.69,1219718.55,458781.4,270269.48,0.0,0.0,98286.18,146883.85,18404.64,0.0,0.0,0.0,0.0,21.66,0.02
13,0.0,2602164.04,0.0,134040.38,0.0,4706400.71,375183.94,1020421.04,147809.13,0.0,0.0,149273.1,270990.72,46972.93,0.0,177022.03,0.0,0.0,7.92,0.03
14,9419195.76,3347324.04,0.0,598884.44,0.0,821581.77,500029.71,440313.89,0.0,0.0,0.0,0.0,23499.79,102753.8,0.0,0.0,0.0,0.0,0.0,0.03
